id,product_group,sub_classification,vendor,molecule_test_type,brand,dosage,dosage_form,unit_of_measure_per_pack
37037,ARV,Adult,HETERO LABS LIMITED,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30
37040,ARV,Adult,S. BUYS WHOLESALER,Nevirapine,Viramune,200mg,Tablet,60
37052,ARV,Adult,S. BUYS WHOLESALER,Didanosine,Generic,250mg,Delayed-release capsules,30
37068,ARV,Adult,PHARMACY DIRECT,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30
37076,ARV,Adult,HETERO LABS LIMITED,Efavirenz,Generic,600mg,Tablet,30
37087,ARV,Adult,PHARMACY DIRECT,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30
37089,ANTM,Malaria,THE MEDICAL EXPORT GROUP BV,Chloroquine base (as phosphate),Generic,150mg,Tablet,1000
37140,ARV,Adult,Hoffmann-La Roche ltd Basel,Saquinavir,Invirase,200mg,Capsule,270
37152,ARV,Pediatric,EMCURE PHARMACEUTICALS LTD,Atazanavir,Generic,150mg,Capsule,60
37157,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
37177,ARV,Adult,Aurobindo Pharma Limited,Zidovudine,Generic,300mg,Tablet,60
39242,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
37251,HRDT,HIV test - Ancillary,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Diluent, 25 Tests",Bioline,N/A,Test kit - Ancillary,1
37277,ARV,Pediatric,Aurobindo Pharma Limited,Abacavir,Generic,20mg/ml,Oral solution,240
37324,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30
37334,ARV,Adult,S. BUYS WHOLESALER,Saquinavir,Invirase,200mg,Capsule,270
37362,ARV,Adult,S. BUYS WHOLESALER,Didanosine,Generic,250mg,Delayed-release capsules,30
37379,ARV,Pediatric,CIPLA LIMITED,Abacavir,Generic,60mg,Chewable/dispersible tablet,60
37410,ARV,Adult,S. BUYS WHOLESALER,Abacavir,Generic,300mg,Tablet,60
37416,ARV,Pediatric,PHARMACY DIRECT,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300
37417,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,N/A,Test kit,25
37452,ARV,Pediatric,PHARMACY DIRECT,Abacavir,Generic,20mg/ml,Oral solution,240
37470,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
37475,ARV,Pediatric,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Lamivudine/Zidovudine,Generic,30/60mg,Tablet - FDC,60
37481,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100
37487,ARV,Pediatric,S. BUYS WHOLESALER,Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60
37489,ARV,Adult,S. BUYS WHOLESALER,Efavirenz,Generic,600mg,Tablet,30
37496,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
37506,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120
37519,ARV,Adult,Aurobindo Pharma Limited,Lamivudine,Generic,150mg,Tablet,60
37526,ARV,Adult,MICRO LABS LIMITED,Lamivudine,Generic,150mg,Tablet,60
37531,ARV,Pediatric,Aurobindo Pharma Limited,Lamivudine,Generic,10mg/ml,Oral solution,240
37578,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20
37612,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60
37624,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
37650,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300
37664,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
37720,ARV,Adult,S. BUYS WHOLESALER,Nevirapine,Generic,200mg,Tablet,60
37752,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
37753,ARV,Adult,HETERO LABS LIMITED,Nevirapine,Generic,200mg,Tablet,60
37775,ARV,Adult,S. BUYS WHOLESALER,Stavudine,Generic,30mg,Capsule,60
37820,ARV,Adult,PHARMACY DIRECT,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30
37829,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120
37835,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Colloidal Gold,N/A,Test kit,1
39495,ARV,Adult,Hoffmann-La Roche ltd Basel,Saquinavir,Invirase,500mg,Tablet,120
37872,ARV,Adult,CIPLA LIMITED,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60
37887,ARV,Adult,CIPLA LIMITED,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30
37924,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
37925,ARV,Adult,Aurobindo Pharma Limited,Efavirenz,Generic,600mg,Tablet,30
37960,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300
37963,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Nevirapine,Generic,200mg,Tablet,60
37979,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300
37987,ARV,Adult,Aurobindo Pharma Limited,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30
37994,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
37997,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120
38021,ARV,Adult,PHARMACY DIRECT,Abacavir,Generic,300mg,Tablet,60
38045,ARV,Pediatric,Aurobindo Pharma Limited,Nevirapine,Generic,50mg,Chewable/dispersible tablet,30
38095,ARV,Adult,PHARMACY DIRECT,Didanosine,Generic,250mg,Delayed-release capsules,30
38099,ARV,Adult,HETERO LABS LIMITED,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30
38111,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Atazanavir/Ritonavir,Generic,300/100mg,Tablet,30
38120,ARV,Adult,Aurobindo Pharma Limited,Nevirapine,Generic,200mg,Tablet,60
38157,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
38183,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,N/A,Test kit,25
38192,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
38237,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
38243,ARV,Adult,PHARMACY DIRECT,Didanosine,Generic,400mg,Delayed-release capsules,30
38247,ARV,Pediatric,Aurobindo Pharma Limited,Zidovudine,Generic,100mg,Capsule,100
38253,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30
38266,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
38273,ARV,Adult,CIPLA LIMITED,Nevirapine,Generic,200mg,Tablet,60
38293,ARV,Pediatric,S. BUYS WHOLESALER,Lamivudine,Generic,10mg/ml,Oral solution,240
38294,ARV,Adult,CIPLA LIMITED,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30
38299,ARV,Adult,HETERO LABS LIMITED,Zidovudine,Generic,300mg,Tablet,60
38308,ARV,Pediatric,Aurobindo Pharma Limited,Nevirapine,Generic,50mg,Chewable/dispersible tablet,30
38312,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Ritonavir,Norvir,100mg,Capsule,336
38318,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Raltegravir,Isentress,400mg,Tablet,60
38368,ARV,Adult,Aurobindo Pharma Limited,Nevirapine,Generic,200mg,Tablet,60
38396,ARV,Adult,Aurobindo Pharma Limited,Nevirapine,Generic,200mg,Tablet,60
38409,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
38417,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
38418,ARV,Adult,PHARMACY DIRECT,Lamivudine,Generic,150mg,Tablet,60
38431,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
38480,ARV,Adult,MICRO LABS LIMITED,Efavirenz,Generic,600mg,Tablet,30
38504,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
38507,ARV,Adult,S. BUYS WHOLESALER,Zidovudine,Retrovir,300mg,Tablet,60
38510,ARV,Adult,HETERO LABS LIMITED,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60
38538,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30
38567,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
38571,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Ritonavir,Norvir,100mg,Tablet,30
38573,ARV,Adult,S. BUYS WHOLESALER,Ritonavir,Norvir,100mg,Capsule,84
38590,ARV,Adult,Aurobindo Pharma Limited,Didanosine,Generic,250mg,Delayed-release capsules,30
38596,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
38600,ARV,Adult,S. BUYS WHOLESALER,Abacavir,Generic,300mg,Tablet,60
38611,ARV,Adult,HETERO LABS LIMITED,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60
38613,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
38619,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60
38632,ARV,Adult,MICRO LABS LIMITED,Lamivudine,Generic,150mg,Tablet,60
38662,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
38759,ARV,Pediatric,GLAXOSMITHKLINE EXPORT LIMITED,Abacavir,Ziagen,20mg/ml,Oral solution,240
38762,ARV,Pediatric,Aurobindo Pharma Limited,Nevirapine,Generic,10mg/ml,Oral suspension,240
38793,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
38796,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
38827,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20
38831,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Colloidal Gold,N/A,Test kit,1
38843,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
38913,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
38914,ARV,Adult,S. BUYS WHOLESALER,Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30
38949,ARV,Pediatric,ASPEN PHARMACARE,Abacavir,Ziagen,20mg/ml,Oral solution,240
38951,ARV,Adult,PHARMACY DIRECT,Didanosine,Generic,400mg,Delayed-release capsules,30
38955,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
38992,HRDT,HIV test - Ancillary,"Orgenics, Ltd","Chase Buffer, Determine, 100 Tests, 2.5ml x 1 Vial",Determine,N/A,Test kit - Ancillary,1
39014,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20
39017,ARV,Pediatric,S. BUYS WHOLESALER,Lamivudine,Generic,10mg/ml,Oral solution,240
39025,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Indinavir,Crixivan,400mg,Capsule,180
39029,ARV,Adult,Aurobindo Pharma Limited,Efavirenz,Generic,600mg,Tablet,30
39045,ARV,Pediatric,Aurobindo Pharma Limited,Efavirenz,Generic,200mg,Capsule,90
39053,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs",Determine,N/A,Test kit - Ancillary,100
39065,ARV,Adult,PHARMACY DIRECT,Nevirapine,Generic,200mg,Tablet,60
39075,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20
39088,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60
39105,ARV,Pediatric,S. BUYS WHOLESALER,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300
39133,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
39156,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Zidovudine,Generic,300mg,Tablet,60
39182,ARV,Adult,Aurobindo Pharma Limited,Efavirenz,Generic,600mg,Tablet,30
39184,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
39208,ARV,Adult,EMCURE PHARMACEUTICALS LTD,Efavirenz,Generic,600mg,Tablet,30
39223,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
39226,ARV,Adult,PHARMACY DIRECT,Abacavir,Generic,300mg,Tablet,60
39263,ARV,Adult,HETERO LABS LIMITED,Nevirapine,Generic,200mg,Tablet,60
39291,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300
39343,ARV,Adult,CIPLA LIMITED,Nevirapine,Generic,200mg,Tablet,60
39353,ARV,Adult,CIPLA LIMITED,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30
39391,ARV,Adult,HETERO LABS LIMITED,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30
39393,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
39427,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Indinavir,Crixivan,400mg,Capsule,180
39441,ARV,Pediatric,CIPLA LIMITED,Lamivudine/Nevirapine/Stavudine,Generic,60/100/12mg,Chewable/dispersible tablet - FDC,60
39452,ARV,Pediatric,PHARMACY DIRECT,Ritonavir,Norvir,80mg/ml,Oral solution,90
39453,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
39489,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
39509,ARV,Adult,S. BUYS WHOLESALER,Didanosine,Generic,400mg,Delayed-release capsules,30
39547,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100
39556,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
39575,ARV,Adult,S. BUYS WHOLESALER,Efavirenz,Generic,600mg,Tablet,30
39589,ARV,Adult,CIPLA LIMITED,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30
39606,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
39615,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, ImmunoComb TriSpot Ag - Ab Kit",ImmunoComb,N/A,Test kit,36
39631,ARV,Pediatric,Aurobindo Pharma Limited,Lamivudine,Generic,10mg/ml,Oral solution,240
39647,ARV,Adult,Aurobindo Pharma Limited,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60
39658,ARV,Adult,PHARMACY DIRECT,Darunavir,Prezista,600mg,Tablet,60
39659,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
39661,ARV,Adult,Aurobindo Pharma Limited,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30
39708,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Ritonavir,Norvir,100mg,Capsule,336
39724,ARV,Pediatric,Aurobindo Pharma Limited,Efavirenz,Generic,50mg,Capsule,30
39769,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs",Determine,N/A,Test kit - Ancillary,100
39794,HRDT,HIV test - Ancillary,"Orgenics, Ltd","Chase Buffer, Determine, 100 Tests, 2.5ml x 1 Vial",Determine,N/A,Test kit - Ancillary,1
39799,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60
39823,ARV,Adult,S. BUYS WHOLESALER,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
40255,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Ritonavir,Norvir,100mg,Tablet,30
39833,ARV,Adult,HETERO LABS LIMITED,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30
39850,ANTM,Malaria,ACTION MEDEOR E.V.,Sulfadoxine/Pyrimethamine,Generic,500/25mg,Tablet - FDC,1000
39873,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120
39895,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Colloidal Gold,N/A,Test kit,1
39920,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit (no accessories)",Bioline,N/A,Test kit,30
39933,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
39966,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
39967,ARV,Pediatric,Aurobindo Pharma Limited,Zidovudine,Generic,100mg,Capsule,100
39971,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60
40033,ARV,Pediatric,Aurobindo Pharma Limited,Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60
40044,ARV,Adult,S. BUYS WHOLESALER,Etravirine,Intelence,100mg,Tablet,120
40070,ARV,Adult,PHARMACY DIRECT,Abacavir,Generic,300mg,Tablet,60
40100,ARV,Adult,S. BUYS WHOLESALER,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
40136,ARV,Pediatric,PHARMACY DIRECT,Efavirenz,Generic,200mg,Capsule,90
40152,ARV,Pediatric,PHARMACY DIRECT,Abacavir,Generic,20mg/ml,Oral solution,240
40205,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
40209,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120
40214,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Atazanavir/Ritonavir,Generic,300/100mg,Tablet,30
40286,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60
40351,ANTM,Malaria,AMSTELFARMA B.V.,Sulfadoxine/Pyrimethamine,Generic,500/25mg,Tablet - FDC,1000
40364,ARV,Adult,Aurobindo Pharma Limited,Efavirenz,Generic,600mg,Tablet,30
40365,ARV,Pediatric,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Lamivudine/Zidovudine,Generic,30/60mg,Tablet - FDC,60
40373,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
40379,ARV,Pediatric,PHARMACY DIRECT,Abacavir,Generic,20mg/ml,Oral solution,240
40443,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Ritonavir,Norvir,100mg,Tablet,30
40479,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300
40484,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
40490,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
40496,ARV,Adult,PHARMACY DIRECT,Darunavir,Prezista,300mg,Tablet,120
40498,ARV,Pediatric,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Efavirenz,Stocrin/Sustiva,30mg/ml,Oral solution,180
40555,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120
40580,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
40584,ARV,Adult,Aurobindo Pharma Limited,Zidovudine,Generic,300mg,Tablet,60
40598,ARV,Adult,S. BUYS WHOLESALER,Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30
40608,ARV,Adult,ASPEN PHARMACARE,Darunavir,Prezista,300mg,Tablet,120
40620,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100
40627,ARV,Adult,STRIDES ARCOLAB LIMITED,Nevirapine,Generic,200mg,Tablet,60
40657,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20
40665,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Colloidal Gold,N/A,Test kit,1
40680,ARV,Pediatric,Aurobindo Pharma Limited,Nevirapine,Generic,50mg,Chewable/dispersible tablet,30
40702,HRDT,HIV test - Ancillary,"Orgenics, Ltd","Chase Buffer, Determine, 100 Tests, 2.5ml x 1 Vial",Determine,N/A,Test kit - Ancillary,1
40762,ARV,Adult,Aurobindo Pharma Limited,Lopinavir/Ritonavir,Generic,200/50mg,Tablet,120
40779,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
40790,ARV,Adult,S. BUYS WHOLESALER,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120
40791,ARV,Adult,STRIDES ARCOLAB LIMITED,Lamivudine,Generic,150mg,Tablet,60
40798,ARV,Pediatric,GLAXOSMITHKLINE EXPORT LIMITED,Abacavir,Ziagen,20mg/ml,Oral solution,240
40812,ARV,Adult,EMCURE PHARMACEUTICALS LTD,Efavirenz,Generic,600mg,Tablet,30
40821,ARV,Adult,CIPLA LIMITED,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30
40836,ARV,Adult,Aurobindo Pharma Limited,Zidovudine,Generic,300mg,Tablet,60
40840,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20
40841,ARV,Adult,S. BUYS WHOLESALER,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30
40851,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Zidovudine,Generic,300mg,Tablet,60
40868,ARV,Pediatric,S. BUYS WHOLESALER,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300
40894,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100
40901,ARV,Adult,Aurobindo Pharma Limited,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30
40923,ARV,Adult,Aurobindo Pharma Limited,Efavirenz,Generic,600mg,Tablet,30
40933,ARV,Adult,S. BUYS WHOLESALER,Ritonavir,Norvir,100mg,Capsule,84
40934,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Ritonavir,Norvir,100mg,Tablet,30
40935,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60
40936,ARV,Adult,HETERO LABS LIMITED,Abacavir,Generic,300mg,Tablet,60
